threat_id,timestamp,source_ip,destination_ip,attack_type,detection_method,confidence,severity,affected_system,response_priority,status
TID-20260413 - 0001,2026-04-13 17:16:31,192.0.2.200,192.168.0.1,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.8785,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0002,2026-04-13 17:16:37,192.0.2.200,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0003,2026-04-13 17:16:41,198.51.100.7,10.0.0.2,DoS / DDoS Attack,AI -Logistic Regression,1.0,High,File Server,P1 - Immediate,Open
TID-20260413 - 0004,2026-04-13 17:16:43,172.16.0.5,10.0.0.5,Advanced Persistent Threat (APT),AI -Logistic Regression,0.9984,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0005,2026-04-13 17:16:47,10.10.10.50,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0006,2026-04-13 17:16:49,172.31.255.1,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9995,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0007,2026-04-13 17:16:58,10.0.0.88,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0008,2026-04-13 17:16:59,172.16.0.5,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0009,2026-04-13 17:17:01,172.16.0.5,192.168.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9984,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0010,2026-04-13 17:17:02,203.0.113.42,172.16.1.1,DoS / DDoS Attack,AI -Logistic Regression,1.0,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0011,2026-04-13 17:17:04,192.168.1.10,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9993,High,File Server,P1 - Immediate,Open
TID-20260413 - 0012,2026-04-13 17:17:12,172.31.255.1,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Network Gateway,P1 - Immediate,Open
TID-20260413 - 0013,2026-04-13 17:17:16,192.168.1.10,10.0.0.2,Brute Force / Credential Attack,AI -Logistic Regression,0.9998,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0014,2026-04-13 17:17:25,10.10.10.50,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0015,2026-04-13 17:17:31,198.51.100.7,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0016,2026-04-13 17:17:36,198.51.100.7,172.16.1.1,DoS / DDoS Attack,AI -Logistic Regression,1.0,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0017,2026-04-13 17:17:37,192.168.1.10,10.0.0.1,DoS / DDoS Attack,AI -Logistic Regression,0.992,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0018,2026-04-13 17:17:39,192.0.2.200,192.168.0.1,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9978,High,Authentication Server,P1 - Immediate,Open
TID-20260413 - 0019,2026-04-13 17:17:45,10.0.0.88,10.0.0.1,Network Reconnaissance / Port Scan,AI -Logistic Regression,0.9999,High,Admin Workstation,P1 - Immediate,Open
TID-20260413 - 0020,2026-04-13 17:17:48,10.10.10.50,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0021,2026-04-13 17:18:01,192.168.1.45,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9999,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0022,2026-04-13 17:18:04,10.10.10.50,10.0.0.5,Probe / Network Sweep,AI -Logistic Regression,0.9464,High,Web Server,P1 - Immediate,Open
TID-20260413 - 0023,2026-04-13 17:18:07,192.0.2.200,10.0.0.1,Brute Force / Credential Attack,AI -Logistic Regression,1.0,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0024,2026-04-13 17:18:09,203.0.113.42,172.16.1.1,Brute Force / Credential Attack,AI -Logistic Regression,0.9973,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0025,2026-04-13 17:18:10,192.0.2.200,192.168.0.1,Advanced Persistent Threat (APT),AI -Logistic Regression,0.996,High,Database Server,P1 - Immediate,Open
TID-20260413 - 0026,2026-04-13 17:18:15,172.16.0.5,10.0.0.5,Brute Force / Credential Attack,AI -Logistic Regression,0.9994,High,Database Server,P1 - Immediate,Open
